2024 ASA Spring Elections

SubmissionId,"Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 1","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 2","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 3","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 4","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 5","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 6","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 1","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 2","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 3","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 4","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 5","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 1","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 2","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 3","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 4","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 5","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 7","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 1","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 2","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 3","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 4","Please select and option for President/Vice President","Please select your choice for Secretary. ","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 1","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 2","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 3","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 4"
"7182234","Amy Kim","Juliann Seeley","May Utonwa Oji","Em Powers","Elijah Schipper","Nyamal Changson","Natneal Goitom","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182338","Em Powers","May Utonwa Oji","Elijah Schipper","Amy Kim","Juliann Seeley","Nyamal Changson","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","Anna Pirrung","Hawi Meshessha","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7182378","","","","","","","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Elliana Pulse","Anna Pirrung","Abigail Grace Smith","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7182396","Nyamal Changson","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Hawi Meshessha","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Abigail Grace Smith","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya","Anushra Shrestha"
"7182420","Nyamal Changson","Amy Kim","Elijah Schipper","Juliann Seeley","Em Powers","May Utonwa Oji","Natneal Goitom","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7182467","Em Powers","Elijah Schipper","Amy Kim","Nyamal Changson","Juliann Seeley","May Utonwa Oji","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182502","Juliann Seeley","","","","","","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182503","Em Powers","Amy Kim","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Elijah Schipper","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Issie Ventura","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7182505","Nyamal Changson","Amy Kim","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Abigail Grace Smith","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182530","Amy Kim","May Utonwa Oji","Juliann Seeley","","","","Natneal Goitom","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182589","Em Powers","Amy Kim","Elijah Schipper","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Elliana Pulse","Anna Pirrung","Natneal Goitom","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7182662","Amy Kim","Em Powers","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Elijah Schipper","","","","","","","Gracen Juffer","Surafel Zeleke","Asmeret Abebe","Issie Ventura","Susana Gebrekidan","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182665","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Em Powers","Amy Kim","Hawi Meshessha","Natneal Goitom","Abigail Grace Smith","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182671","Nyamal Changson","Em Powers","Juliann Seeley","May Utonwa Oji","Amy Kim","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Elliana Pulse","Hawi Meshessha","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182679","Em Powers","Amy Kim","Elijah Schipper","May Utonwa Oji","Juliann Seeley","Nyamal Changson","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Domanic Dick","Isha Hooda","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7182720","Em Powers","May Utonwa Oji","Amy Kim","Nyamal Changson","Juliann Seeley","Elijah Schipper","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7182744","Amy Kim","Em Powers","Juliann Seeley","Nyamal Changson","Elijah Schipper","May Utonwa Oji","","","","","","","Gracen Juffer","Issie Ventura","Pierce Cunningham","Jackson Paslay","Asmeret Abebe","Surafel Zeleke","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182751","Amy Kim","Nyamal Changson","May Utonwa Oji","Em Powers","Elijah Schipper","Juliann Seeley","","","","","","","Surafel Zeleke","Issie Ventura","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Pierce Cunningham","Gracen Juffer","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya"
"7182752","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7182774","Amy Kim","Em Powers","May Utonwa Oji","Nyamal Changson","Elijah Schipper","Juliann Seeley","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7182803","Amy Kim","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","May Utonwa Oji","","","","","","","Surafel Zeleke","Issie Ventura","Asmeret Abebe","Susana Gebrekidan","Pierce Cunningham","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7182809","Em Powers","Nyamal Changson","May Utonwa Oji","Amy Kim","Elijah Schipper","Juliann Seeley","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Abigail Grace Smith","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya","Anushra Shrestha"
"7182828","Juliann Seeley","","","","","","Anna Pirrung","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182878","May Utonwa Oji","Em Powers","Nyamal Changson","Elijah Schipper","Juliann Seeley","Amy Kim","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Elliana Pulse","Abigail Grace Smith","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7182885","Amy Kim","","","","","","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7182908","Juliann Seeley","Amy Kim","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Em Powers","Elliana Pulse","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183003","Amy Kim","Elijah Schipper","Nyamal Changson","Juliann Seeley","May Utonwa Oji","Em Powers","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","Natneal Goitom","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183005","Amy Kim","Em Powers","May Utonwa Oji","Juliann Seeley","Elijah Schipper","Nyamal Changson","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183063","Amy Kim","Em Powers","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Elijah Schipper","","","","","","","Susana Gebrekidan","Gracen Juffer","Issie Ventura","Pierce Cunningham","Asmeret Abebe","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183094","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","May Utonwa Oji","Nyamal Changson","","","","","","","Gracen Juffer","Surafel Zeleke","Jackson Paslay","Pierce Cunningham","Susana Gebrekidan","Issie Ventura","Asmeret Abebe","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183174","Nyamal Changson","Amy Kim","Em Powers","Juliann Seeley","May Utonwa Oji","Elijah Schipper","Abigail Grace Smith","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya"
"7183229","Amy Kim","Elijah Schipper","Em Powers","Nyamal Changson","Juliann Seeley","May Utonwa Oji","","","","","","","Surafel Zeleke","Asmeret Abebe","Issie Ventura","Susana Gebrekidan","Jackson Paslay","Pierce Cunningham","Gracen Juffer","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7183243","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Em Powers","Amy Kim","Elijah Schipper","Hawi Meshessha","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7183244","","","","","","","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Suyash SR Thapaliya","",""
"7183281","Amy Kim","Juliann Seeley","May Utonwa Oji","Elijah Schipper","Nyamal Changson","Em Powers","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","Domanic Dick","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183401","Amy Kim","May Utonwa Oji","Elijah Schipper","Nyamal Changson","Juliann Seeley","Em Powers","","","","","","","Gracen Juffer","Pierce Cunningham","Susana Gebrekidan","Jackson Paslay","Surafel Zeleke","Issie Ventura","Asmeret Abebe","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183528","Em Powers","Juliann Seeley","Nyamal Changson","Elijah Schipper","May Utonwa Oji","Amy Kim","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183641","Em Powers","Amy Kim","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Nyamal Changson","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7183676","Amy Kim","May Utonwa Oji","Em Powers","","","","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7183945","Nyamal Changson","Amy Kim","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Jackson Paslay","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184302","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Amy Kim","","","","","","","Surafel Zeleke","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","","","Anushra Shrestha"
"7184401","Elijah Schipper","Nyamal Changson","Amy Kim","May Utonwa Oji","Em Powers","Juliann Seeley","Natneal Goitom","Anna Pirrung","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184462","Juliann Seeley","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","","","","","","","Jackson Paslay","Pierce Cunningham","Issie Ventura","Gracen Juffer","Surafel Zeleke","Susana Gebrekidan","Asmeret Abebe","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya","Anushra Shrestha"
"7184512","Amy Kim","Em Powers","Nyamal Changson","Juliann Seeley","May Utonwa Oji","Elijah Schipper","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Anushra Shrestha","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu"
"7184716","Juliann Seeley","","","","","","","","","","","","Pierce Cunningham","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7184771","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","","","","","","","Gracen Juffer","Issie Ventura","Jackson Paslay","Asmeret Abebe","Pierce Cunningham","Susana Gebrekidan","Surafel Zeleke","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184777","Em Powers","Juliann Seeley","Nyamal Changson","Amy Kim","Elijah Schipper","May Utonwa Oji","Natneal Goitom","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya","Anushra Shrestha"
"7184839","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Em Powers","Amy Kim","Elijah Schipper","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Abigail Grace Smith","Elliana Pulse","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184840","Em Powers","","","","","","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Domanic Dick","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184870","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Em Powers","Amy Kim","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Anna Pirrung","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184872","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Em Powers","Amy Kim","Elijah Schipper","Natneal Goitom","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7184877","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","Amy Kim","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Issie Ventura","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Suyash SR Thapaliya","Anushra Shrestha","Hiwote Hailu"
"7184922","Em Powers","Nyamal Changson","Amy Kim","Juliann Seeley","Elijah Schipper","May Utonwa Oji","","","","","","","Susana Gebrekidan","Pierce Cunningham","Asmeret Abebe","Jackson Paslay","Surafel Zeleke","Issie Ventura","Gracen Juffer","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7184978","Nyamal Changson","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","Amy Kim","Hawi Meshessha","Anna Pirrung","Elliana Pulse","Abigail Grace Smith","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7185098","Amy Kim","Elijah Schipper","Juliann Seeley","Em Powers","May Utonwa Oji","Nyamal Changson","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7185101","Nyamal Changson","","","","","","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha",""
"7185215","Amy Kim","Elijah Schipper","Em Powers","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7185245","May Utonwa Oji","Amy Kim","Elijah Schipper","Em Powers","Nyamal Changson","Juliann Seeley","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7185335","May Utonwa Oji","Nyamal Changson","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Anna Pirrung","Elliana Pulse","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7185470","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Em Powers","Amy Kim","Elijah Schipper","","","","","","","Asmeret Abebe","Susana Gebrekidan","Surafel Zeleke","Gracen Juffer","Pierce Cunningham","Issie Ventura","Jackson Paslay","","","","","I do not want to vote for a ticket","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7185532","Em Powers","May Utonwa Oji","Elijah Schipper","Nyamal Changson","Juliann Seeley","Amy Kim","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Issie Ventura","Gracen Juffer","Pierce Cunningham","Jackson Paslay","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7185615","Em Powers","Amy Kim","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Elijah Schipper","","","","","","","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","Surafel Zeleke","","","","","I do not want to vote for a ticket","Carson Steichen","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7185810","","","","","","","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha","Nardos Semagne"
"7186152","","","","","","","","","","","","","Gracen Juffer","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186179","Amy Kim","May Utonwa Oji","Nyamal Changson","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Gracen Juffer","Asmeret Abebe","Jackson Paslay","Surafel Zeleke","Issie Ventura","Pierce Cunningham","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186277","Em Powers","May Utonwa Oji","Amy Kim","Juliann Seeley","Elijah Schipper","Nyamal Changson","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Anna Pirrung","Elliana Pulse","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186439","Elijah Schipper","Em Powers","Juliann Seeley","Amy Kim","May Utonwa Oji","Nyamal Changson","","","","","","","","","","","","","","Isha Hooda","Domanic Dick","Avery Gilman","Raleigh Lunderman","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186486","Em Powers","Amy Kim","Elijah Schipper","Nyamal Changson","Juliann Seeley","May Utonwa Oji","","","","","","","Gracen Juffer","Issie Ventura","Pierce Cunningham","Jackson Paslay","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186577","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Amy Kim","","","","","","","","","","","","","","Raleigh Lunderman","Isha Hooda","Domanic Dick","Avery Gilman","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya"
"7186761","Nyamal Changson","May Utonwa Oji","Amy Kim","Juliann Seeley","Elijah Schipper","Em Powers","Hawi Meshessha","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7186827","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7186866","May Utonwa Oji","Amy Kim","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","Natneal Goitom","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Hiwote Hailu","Nardos Semagne","Anushra Shrestha"
"7186878","Em Powers","May Utonwa Oji","Elijah Schipper","Nyamal Changson","Amy Kim","Juliann Seeley","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186947","Amy Kim","","","","","","","","","","","","","","","Surafel Zeleke","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7186979","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Juliann Seeley","","","","","","","Susana Gebrekidan","Asmeret Abebe","Issie Ventura","Pierce Cunningham","Surafel Zeleke","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7186981","May Utonwa Oji","Nyamal Changson","Amy Kim","Juliann Seeley","Em Powers","Elijah Schipper","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Anushra Shrestha","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya"
"7187046","Elijah Schipper","Amy Kim","Nyamal Changson","Juliann Seeley","Em Powers","May Utonwa Oji","Hawi Meshessha","Elliana Pulse","Natneal Goitom","Anna Pirrung","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7187114","Elijah Schipper","Amy Kim","Em Powers","Nyamal Changson","Juliann Seeley","May Utonwa Oji","","","","","","","Jackson Paslay","Asmeret Abebe","Surafel Zeleke","Susana Gebrekidan","Issie Ventura","Pierce Cunningham","Gracen Juffer","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7187161","Amy Kim","Juliann Seeley","Elijah Schipper","Em Powers","Nyamal Changson","May Utonwa Oji","Anna Pirrung","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
